"","bedscode","lea_name","org_type","county_name","region","total_2021_22_unduplicated","sd","year","total_enrollment","homelessness_rate"
"1","310100010000","NYC GEOG DIST # 1 - MANHATTAN","SCHOOL DISTRICT","NEW YORK","NEW YORK CITY","1279","1","2021-22",9913,12.90224957127
"2","310200010000","NYC GEOG DIST # 2 - MANHATTAN","SCHOOL DISTRICT","NEW YORK","NEW YORK CITY","4476","2","2021-22",56718,7.89167460065588
"3","310300010000","NYC GEOG DIST # 3 - MANHATTAN","SCHOOL DISTRICT","NEW YORK","NEW YORK CITY","1449","3","2021-22",19096,7.58797653958944
"4","310400010000","NYC GEOG DIST # 4 - MANHATTAN","SCHOOL DISTRICT","NEW YORK","NEW YORK CITY","1636","4","2021-22",11075,14.7720090293454
"5","310500010000","NYC GEOG DIST # 5 - MANHATTAN","SCHOOL DISTRICT","NEW YORK","NEW YORK CITY","1854","5","2021-22",8703,21.3029989658738
"6","310600010000","NYC GEOG DIST # 6 - MANHATTAN","SCHOOL DISTRICT","NEW YORK","NEW YORK CITY","3388","6","2021-22",17979,18.8442071305412
"7","320700010000","NYC GEOG DIST # 7 - BRONX","SCHOOL DISTRICT","BRONX","NEW YORK CITY","3127","7","2021-22",15397,20.3091511333377
"8","320800010000","NYC GEOG DIST # 8 - BRONX","SCHOOL DISTRICT","BRONX","NEW YORK CITY","3341","8","2021-22",23034,14.5046453069376
"9","320900010000","NYC GEOG DIST # 9 - BRONX","SCHOOL DISTRICT","BRONX","NEW YORK CITY","6745","9","2021-22",26564,25.391507303117
"10","321000010000","NYC GEOG DIST #10 - BRONX","SCHOOL DISTRICT","BRONX","NEW YORK CITY","8184","10","2021-22",44903,18.2259537224684
"11","321100010000","NYC GEOG DIST #11 - BRONX","SCHOOL DISTRICT","BRONX","NEW YORK CITY","3956","11","2021-22",31723,12.4704473095231
"12","321200010000","NYC GEOG DIST #12 - BRONX","SCHOOL DISTRICT","BRONX","NEW YORK CITY","3506","12","2021-22",17431,20.1135907291607
"13","331300010000","NYC GEOG DIST #13 - BROOKLYN","SCHOOL DISTRICT","KINGS","NEW YORK CITY","1485","13","2021-22",19585,7.58233341843247
"14","331400010000","NYC GEOG DIST #14 - BROOKLYN","SCHOOL DISTRICT","KINGS","NEW YORK CITY","1684","14","2021-22",15783,10.6697079135779
"15","331500010000","NYC GEOG DIST #15 - BROOKLYN","SCHOOL DISTRICT","KINGS","NEW YORK CITY","1946","15","2021-22",27954,6.96143664591829
"16","331600010000","NYC GEOG DIST #16 - BROOKLYN","SCHOOL DISTRICT","KINGS","NEW YORK CITY","985","16","2021-22",5631,17.4924524951163
"17","331700010000","NYC GEOG DIST #17 - BROOKLYN","SCHOOL DISTRICT","KINGS","NEW YORK CITY","2910","17","2021-22",18346,15.8617682328573
"18","331800010000","NYC GEOG DIST #18 - BROOKLYN","SCHOOL DISTRICT","KINGS","NEW YORK CITY","1167","18","2021-22",10856,10.7498157700811
"19","331900010000","NYC GEOG DIST #19 - BROOKLYN","SCHOOL DISTRICT","KINGS","NEW YORK CITY","3187","19","2021-22",18530,17.1991365353481
"20","332000010000","NYC GEOG DIST #20 - BROOKLYN","SCHOOL DISTRICT","KINGS","NEW YORK CITY","2549","20","2021-22",46648,5.46432858857829
"21","332100010000","NYC GEOG DIST #21 - BROOKLYN","SCHOOL DISTRICT","KINGS","NEW YORK CITY","2271","21","2021-22",33400,6.79940119760479
"22","332200010000","NYC GEOG DIST #22 - BROOKLYN","SCHOOL DISTRICT","KINGS","NEW YORK CITY","2218","22","2021-22",29930,7.41062479117942
"23","332300010000","NYC GEOG DIST #23 - BROOKLYN","SCHOOL DISTRICT","KINGS","NEW YORK CITY","1699","23","2021-22",7375,23.0372881355932
"24","333200010000","NYC GEOG DIST #32 - BROOKLYN","SCHOOL DISTRICT","KINGS","NEW YORK CITY","2177","32","2021-22",9850,22.1015228426396
"25","342400010000","NYC GEOG DIST #24 - QUEENS","SCHOOL DISTRICT","QUEENS","NEW YORK CITY","6644","24","2021-22",51278,12.9568235890635
"26","342500010000","NYC GEOG DIST #25 - QUEENS","SCHOOL DISTRICT","QUEENS","NEW YORK CITY","2139","25","2021-22",34308,6.23469744665967
"27","342600010000","NYC GEOG DIST #26 - QUEENS","SCHOOL DISTRICT","QUEENS","NEW YORK CITY","1209","26","2021-22",29258,4.1322031581106
"28","342700010000","NYC GEOG DIST #27 - QUEENS","SCHOOL DISTRICT","QUEENS","NEW YORK CITY","2706","27","2021-22",39602,6.83298823291753
"29","342800010000","NYC GEOG DIST #28 - QUEENS","SCHOOL DISTRICT","QUEENS","NEW YORK CITY","2786","28","2021-22",36214,7.69315734246424
"30","342900010000","NYC GEOG DIST #29 - QUEENS","SCHOOL DISTRICT","QUEENS","NEW YORK CITY","2628","29","2021-22",22288,11.7910983488873
"31","343000010000","NYC GEOG DIST #30 - QUEENS","SCHOOL DISTRICT","QUEENS","NEW YORK CITY","3263","30","2021-22",35214,9.26620094280684
"32","353100010000","NYC GEOG DIST #31 - STATEN ISLAND","SCHOOL DISTRICT","RICHMOND","NEW YORK CITY","2323","31","2021-22",58456,3.97392910907349
